Email Address,Golf Day 15/11/13,IML Breakfast 13/3/14,WCM 4-5/6/14,Investment Forum 4/6/14,Midwinter Art Event 6/8/14,Womens Forum 20/08/14,Kapstream 27/08/14,Forum - Point 23/10/14,WCM 5-6/11/14,Golf Day 10/11/14,Albury Dinner 13/11/14,Womens Forum 12/11/14,,Total Cost
358,,,,,,,,,,Invited,,,, $-   
359,,,,,,,,,,,,,, $-   
360,,,,,,,,,,,,,, $-   
361,Attended,Attended,,Attended,,,,,,Attended,Attended,,, $775.36 
362,,,,,,,,,,,,,, $-   
363,,,,,,,,,,,,,, $-   
364,,,,,,,,,,,,,, $-   
365,,,,,,,,,,,,,, $-   
366,,,,,,,,,,,,,, $-   
367,,,,,,,,,,,,,, $-   
368,,,,Invited,,,,Attended,,Invited,,,, $204.08 
369,,,,Attended,Invited,,,,,,,,, $203.44 
370,,,,,,Attended,,,,,,,, $7.50 
371,,,,Attended,,,Invite3,Invited,,,,,, $203.44 
372,,,,,,,,,,,,,, $-   
373,,,,Attended,,,Invite3,,,,,,, $203.44 
374,Attended,,,,,,,,,Invited,,,, $269.57 
375,,,,,,,,,,,,,, $-   
376,,,,,,,Attended,,,Attended,,,, $203.74 
377,,,,,,,,,,Invited,,,, $-   
378,,,,,,,,,,Invited,,,, $-   
379,,,,,,,,,,,,,, $-   
380,,,,,,,,,,,,,, $-   
381,,,,,,,,,,,,,, $-   
382,,,,,,,,,,,,,, $-   
383,,,,Invited,,,,,,,,,, $-   
384,,,,,,,,,,,,,, $-   
385,,,,,,,,,,,,,, $-   
386,,,,,,,,,,,,,, $-   
387,,,,Invited,,,,,,,,,, $-   
388,,,,,,,,,,,,,, $-   
389,,,,,,,,,,,,,, $-   
390,,,,Invited,,,,Invited,,,,,, $-   
391,,,,,,,,,,,,,, $-   
392,,,,,,,,,,,,,, $-   
393,,,,,,,,,,,,,, $-   
394,,,,Attended,,,Attended,Invited,,,,Invited,, $217.32 
395,,,,,,,,,,,,,, $-   
396,,,,,,,,,,,,,, $-   
397,,,,,,,,Attended,5th,,,,, $204.08 
398,,,,,,,,,,,,,, $-   
399,,,,,,,,,,,,,, $-   
400,,,,,,,,,,,,,, $-   
401,,,Attended,Invited,Invited,,,,Attended,Invited,,,, $64.58 
402,,,,,,,,,,,,,, $-   
403,,,,,,,,,,,,,, $-   
404,,,,,,,,,,,,,, $-   
405,,,,Invited,,,,,,,,,, $-   
406,,,,,,,,,,,,,, $-   
407,,,,,,,,,,,,,, $-   
408,,,,Invited,,,,Invited,,,,,, $-   
409,,,,,,,,,,,,,, $-   
410,,,,,,,,,,,,,, $-   
411,,,,Invited,,,,,,,,,, $-   
412,,,,Invited,,,,,,,,,, $-   
